experiment_name,fold,best_val_acc,train_losses,val_losses,test_acc
baseline_model,1,86.5,"[1.0674144809062664, 0.32978783777126897, 0.10023613503346077, 0.03216290989747414, 0.017430718415058576, 0.009475365352745239, 0.005884944586656415, 0.004445080287181414, 0.0036886507072127783, 0.0032265429528286825, 0.002793459821707354, 0.002524620208602685, 0.0022649186251398465]","[0.8567868322134018, 0.7828110903501511, 0.61818528175354, 0.5516956821084023, 0.5870803967118263, 0.5876335352659225, 0.5956145599484444, 0.61753960698843, 0.6271129101514816, 0.6255060583353043, 0.6250356286764145, 0.6322973594069481, 0.6388042122125626]",
baseline_model,2,83.0,"[1.1387397738603444, 0.2802813477241076, 0.102464753561295, 0.036896202426690325, 0.02025301231501194, 0.016588221232478436, 0.020589398685842752, 0.008702618571428152, 0.008876462592385136, 0.011994413637484495, 0.009187086610696636, 0.01230840237202266, 0.009461661997752694, 0.011499967130545814, 0.01069245998783467, 0.015073806557875987, 0.003537937765941024, 0.007989476112505564, 0.012776536804337341]","[1.4118330255150795, 1.3672269210219383, 1.2997335866093636, 1.389797680079937, 1.4145318865776062, 1.402351327240467, 1.4381818175315857, 1.4251405000686646, 1.4535080194473267, 1.4557677432894707, 1.46638023853302, 1.4569285959005356, 1.4676480367779732, 1.4754056483507156, 1.4828215166926384, 1.494831122457981, 1.5276010781526566, 1.5230212956666946, 1.5545127764344215]",
baseline_model,3,81.0,"[1.1127872008543749, 0.25700688247497266, 0.08249082846137193, 0.030469992842811804, 0.01373776442442949, 0.007867665639003882, 0.0057550928770349575, 0.004484550955776985, 0.0037015112331853462, 0.0031901145031532417, 0.0027857771000036825, 0.002445315995898384, 0.002208081969561485]","[1.1426735520362854, 0.9480010271072388, 1.1021394431591034, 1.02633598446846, 1.0196888446807861, 1.0143432915210724, 1.0240976810455322, 1.0305498391389847, 1.0496226102113724, 1.0457481741905212, 1.0452049523591995, 1.0664514005184174, 1.0815968364477158]",
baseline_model,4,87.0,"[1.102145635164701, 0.30285508242937237, 0.09969490050123288, 0.03912243418968641, 0.01820007489564327, 0.013823572152222578, 0.018588104142019383, 0.02097150683403015, 0.009659701850838386, 0.007121242188776915]","[0.8036399185657501, 0.6420076638460159, 0.6828896999359131, 0.692425087094307, 0.6739482022821903, 0.7561644688248634, 0.7141879200935364, 0.7129376232624054, 0.7314365915954113, 0.7425478771328926]",
baseline_model,5,82.41206030150754,"[1.1139019819406362, 0.2515150709794118, 0.07843396081947364, 0.03259631518561106, 0.017015600648637, 0.014595306191879969, 0.009743869304656982, 0.013523389334575487, 0.010309784923895048, 0.011666055392617216, 0.015936064175688304, 0.013093265937641263, 0.005701460445729585, 0.006760536487070987, 0.008915387147750992, 0.011443749374638382, 0.011882912170571776, 0.0061901906200756245, 0.009473834079332076, 0.00573274082181832, 0.007988919539806934, 0.00905839253951294, 0.01587554992427333]","[0.9436346590518951, 0.6144961044192314, 0.5560082271695137, 0.5725563317537308, 0.5880160965025425, 0.5697621293365955, 0.574618736281991, 0.5802308097481728, 0.5848446413874626, 0.5970711763948202, 0.5896956734359264, 0.5880507528781891, 0.5991476289927959, 0.5964620001614094, 0.6001065131276846, 0.6062272395938635, 0.6096849096938968, 0.6078844051808119, 0.6034553544595838, 0.6071778144687414, 0.6106949280947447, 0.6116164065897465, 0.6159215811640024]",
exp2_1_deep,1,82.5,"[1.8936472030786367, 1.322344000522907, 1.0055171159597545, 0.785079144514524, 0.5981253202144916, 0.47590850866757906, 0.36470347528274244, 0.2845892539391151, 0.22339937893243936, 0.16579388368588227, 0.1295206776032081, 0.09990305768755767, 0.0769628956913948, 0.06003797598756277, 0.047223131673840374, 0.03804005367251543, 0.032061962983929194, 0.026227538115703143, 0.022250480949878693, 0.01918437281766763, 0.0167153338686778, 0.014589938335120678, 0.013096199084359866, 0.01163075570590221, 0.01039783305560167, 0.009464402575618945, 0.008613603153767494, 0.008000350019966181]","[1.7249580323696136, 1.4187827408313751, 1.2167760133743286, 1.0613286942243576, 0.9795297086238861, 0.8996127098798752, 0.841873899102211, 0.7743102163076401, 0.7297598719596863, 0.7307583838701248, 0.7136948183178902, 0.6673999428749084, 0.6734994351863861, 0.6516729071736336, 0.6663731262087822, 0.6742856279015541, 0.6632140427827835, 0.6659936085343361, 0.6773003414273262, 0.6958217769861221, 0.6833775043487549, 0.6858192011713982, 0.7046649754047394, 0.6969455108046532, 0.7037424445152283, 0.7143418565392494, 0.7093547806143761, 0.7194147408008575]",
exp2_1_deep,2,82.5,"[1.8930879464516273, 1.2897128325242262, 0.9279927152853745, 0.7093841846172626, 0.5374498802881974, 0.42864444622626674, 0.3305189632452451, 0.26333522911255175, 0.20779064297676086, 0.1653773681475566, 0.12819119084339875, 0.10434219241142273, 0.08354319288180424, 0.07445766404271126, 0.05480944809432213, 0.04500170883077841, 0.04147927649319172, 0.03304570225568918, 0.030112095893575594, 0.026007623268434636, 0.022463565262464378, 0.020266436900083836]","[1.8171104788780212, 1.5161259174346924, 1.2670086175203323, 1.1288127452135086, 1.046187549829483, 0.9827657788991928, 0.96550053358078, 0.9376321509480476, 0.9078376665711403, 0.8933646753430367, 0.8955490067601204, 0.8953511863946915, 0.8973351716995239, 0.9026563465595245, 0.9004568010568619, 0.9005673974752426, 0.9234787970781326, 0.921246625483036, 0.9294539391994476, 0.9410451427102089, 0.9466590732336044, 0.9600321426987648]",
exp2_1_deep,3,80.0,"[1.9412382290913508, 1.3869801943118756, 1.0192225804695716, 0.754823638842656, 0.5639765010430262, 0.4310711691012749, 0.318313309779534, 0.23330483299035293, 0.17433125984210235, 0.12632790437111488, 0.0939608752154387, 0.07193548690814239, 0.05392184481024742, 0.043182989439139, 0.03494193089696077, 0.028303696702306088, 0.02355277781876234, 0.020525329961226538, 0.017523583526221607, 0.014808773063123226, 0.01302590357282987, 0.011614612411134519, 0.010299589413289841, 0.009229036262975289, 0.00822444947866293, 0.007573400659916492, 0.006855044048279524, 0.006239187957432408]","[1.8800796866416931, 1.5432615280151367, 1.3273305892944336, 1.1580146253108978, 1.0991773754358292, 1.0470583885908127, 1.0097481608390808, 1.0489710867404938, 1.011962354183197, 1.0310663878917694, 1.0225387662649155, 1.0274155884981155, 1.057285025715828, 1.0777749717235565, 1.0700922906398773, 1.1014703512191772, 1.117398351430893, 1.1286241859197617, 1.133054479956627, 1.139892354607582, 1.1565231680870056, 1.1823756992816925, 1.1617881059646606, 1.1943621337413788, 1.20370352268219, 1.1954212486743927, 1.2110397815704346, 1.224872186779976]",
exp2_1_deep,4,86.5,"[2.0027499749110294, 1.3941329671786382, 1.0125132890848012, 0.7499016064863938, 0.5651302337646484, 0.42984139919281006, 0.326254468697768, 0.2492965001326341, 0.18468612661728492, 0.13946676082335985, 0.10870692649712929, 0.08435879991604732, 0.06964568048715591, 0.05477631464600563, 0.04499628810355297, 0.0367335883470682]","[1.723861962556839, 1.2764802873134613, 0.9828229248523712, 0.8097380548715591, 0.7006081342697144, 0.6274019032716751, 0.5792977660894394, 0.5585730671882629, 0.5406054109334946, 0.5392486676573753, 0.5611011162400246, 0.5580050200223923, 0.5661924108862877, 0.554395042359829, 0.5791559666395187, 0.578079879283905]",
exp2_1_deep,5,80.90452261306532,"[1.8713885362331684, 1.2758902678122888, 0.9307570228209863, 0.7087239760618943, 0.5480084556799668, 0.42318221697440517, 0.3249191171847857, 0.24436586522139037, 0.18851253734185144, 0.14506001483935577, 0.11074647307395935, 0.0870236955009974, 0.06824259660564937, 0.05508404998825146, 0.04754378961829039, 0.03771899597576031, 0.03066450386093213, 0.02635571675804945, 0.023212077884146802, 0.019988700890770324, 0.017952306339373954, 0.016213324422446582, 0.013782573219102163, 0.013848837035206648, 0.012628095511060495, 0.010524750543901553, 0.010247707796784548, 0.009850409598304676, 0.010876432849237552, 0.013722257187160162, 0.010717174969613552, 0.009189821743907837]","[1.763927012681961, 1.4734878838062286, 1.2144079804420471, 1.0658340901136398, 0.9286885261535645, 0.8582461029291153, 0.7829791754484177, 0.7371851205825806, 0.7159365266561508, 0.6889879703521729, 0.6703431531786919, 0.6556623056530952, 0.6477650031447411, 0.6442846059799194, 0.6338584795594215, 0.6444764509797096, 0.6370669528841972, 0.6465314105153084, 0.6413190737366676, 0.6436252146959305, 0.648517519235611, 0.6478371173143387, 0.6504527255892754, 0.6502770148217678, 0.6537033244967461, 0.6551192440092564, 0.659450963139534, 0.6615044884383678, 0.6613891050219536, 0.6621098816394806, 0.6681538708508015, 0.6677583679556847]",
