Experiment,Objective,Hidden Layers & Nodes,Activation,Dropout,BatchNorm,Optimizer,Batch Size,Learning Rate,Max Epochs,Patience,Num Classes
Baseline Model,Reference for comparison,1 Hidden Layer (64),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 2.1,Increase depth,2 Hidden (64, 32),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 2.2,Increase depth,3 Hidden (128, 64, 32),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 2.3,Increase depth,4 Hidden (256, 128, 64, 32),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 3.1,Increase nodes by 1.5x,1 Hidden (96),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 3.2,Increase nodes by 2x,1 Hidden (128),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 3.3,Decrease nodes by 0.5x,1 Hidden (32),ReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 4.1,Add dropout (0.2),1 Hidden (64),ReLU,0.2,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 4.2,Add dropout (0.4),1 Hidden (64),ReLU,0.4,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 4.3,Add dropout (0.5),1 Hidden (64),ReLU,0.5,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 5.1,Depth + Dropout,3 Hidden (128, 64, 32),ReLU,0.3,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 5.2,Depth + Dropout,4 Hidden (256, 128, 64, 32),ReLU,0.3,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 5.3,Depth + Dropout,3 Hidden (128, 64, 32),ReLU,0.5,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 5.4,Depth + Dropout,4 Hidden (256, 128, 64, 32),ReLU,0.5,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 6.1,Replace ReLU with LeakyReLU,1 Hidden (64),LeakyReLU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 6.2,Replace ReLU with ELU,1 Hidden (64),ELU,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 6.3,Replace ReLU with Swish,1 Hidden (64),Swish,None,None,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 7.1,Add BatchNorm,1 Hidden (64),ReLU,None,Yes,Adam,64,0.0005,50,7,len(np.unique(labels))
Exp 7.2,BatchNorm + Dropout,1 Hidden (64),ReLU,0.3,Yes,Adam,64,0.0005,50,7,len(np.unique(labels))
