Genre,Genre,Cluster,0
0,0,0,32.5
0,0,1,27.5
0,0,2,28.75
0,0,3,10.0
0,0,4,1.25
1,1,0,1.25
1,1,1,1.25
1,1,4,97.5
2,2,0,16.25
2,2,1,3.75
2,2,2,73.75
2,2,3,3.75
2,2,4,2.5
3,3,0,65.0
3,3,1,1.25
3,3,2,6.25
3,3,3,27.5
4,4,0,17.5
4,4,2,5.0
4,4,3,77.5
5,5,0,17.72151898734177
5,5,1,63.29113924050633
5,5,2,11.39240506329114
5,5,4,7.594936708860759
6,6,0,95.0
6,6,3,5.0
7,7,0,31.25
7,7,1,5.0
7,7,2,7.5
7,7,3,56.25
8,8,0,25.0
8,8,1,1.25
8,8,2,8.75
8,8,3,65.0
9,9,0,57.5
9,9,1,2.5
9,9,2,21.25
9,9,3,15.0
9,9,4,3.75
