Cluster,Genre,Probability
0,0,0.08788990069636161
0,1,0.003255181507272652
0,2,0.07161399315999835
0,3,0.17252461988545056
0,4,0.05208290411636243
0,5,0.05274218138365816
0,6,0.24739379455272154
0,7,0.07812435617454365
0,8,0.07486917466727099
0,9,0.15950389385635996
1,0,0.2322908313285218
1,1,0.010558674151296445
1,2,0.04223469660518578
1,3,0.010558674151296445
1,4,0.0
1,5,0.5987703822507351
1,6,0.0
1,7,0.05279337075648222
1,8,0.02111734830259289
1,9,0.031676022453889334
2,0,0.03258179818531757
2,1,0.8471267528182569
2,2,0.021721198790211716
2,3,0.0
2,4,0.0
2,5,0.06598845202089634
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.03258179818531757
3,0,0.0914994829369183
3,1,0.0
3,2,0.16992761116856256
3,3,0.08496380558428128
3,4,0.2091416752843847
3,5,0.003309203722854188
3,6,0.013071354705274044
3,7,0.16665977249224403
3,8,0.1797311271975181
3,9,0.08169596690796277
